GNN,STR,NDC
SULFACETAMIDE SODIUM/UREA,10 %-10 %,68032010903
PPA BIT/ASPIRIN/CHLORPHENIR,20-325-2MG,16500004620
IBUPROFEN,200 MG,00573016520
TACROLIMUS,5 MG,00469065711
IBUPROFEN,200 MG,11673060462
AMINO ACIDS/PROTEIN HYDROLYS,15 G-60/30,52083093316
AMIODARONE HCL,200 MG,00245014789
ZIDOVUDINE,10 MG/ML,00173011318
"IMMUNE GLOB,GAM CAPRYLATE(IGG)",5G/50ML,76125090050
SODIUM CHLORIDE/SODIUM BICARB,,00225070515
"CERAMIDES 1,3,6-11",,00187137316
DOXAZOSIN MESYLATE,1 MG,00093812019
RIFAMPIN,150 MG,00068051030
PENICILLIN V POTASSIUM,500 MG,54868117301
UREA,40 %,49769035415
BENZTROPINE MESYLATE,0.5 MG,64980011101
FLUOXETINE HCL,20 MG,00378542028
DEXTROSE 5%-WATER,5 %,00409792248
LORATADINE/PSEUDOEPHEDRINE,10MG-240MG,00113016522
DICLOFENAC SODIUM,50 MG,16571020206
THEOPHYLLINE ANHYDROUS,300 MG,00258358105
CARVEDILOL,3.125 MG,57664024288
CEFUROXIME SODIUM,750 MG,00143997990
ERYTHROMYCIN/BENZOYL PEROXIDE,3 %-5 %,00781705449
LORATADINE,10 MG,50428232642
"IRON, CARB & GLUC/FA/B12/C/DSS",90-1-50 MG,00178008990
CYCLOBENZAPRINE HCL,10 MG,68462055310
"SYRING W-NDL,DISP,INSUL,0.5ML","29GX1/2""",38396040803
ACETAMINOPHEN,500 MG,37205003572
"SYRING W-NDL,DISP,INSUL,0.5ML","28GX1/2""",51709000502
RIVAROXABAN,20 MG,50458057990
PARENTERAL AMINO ACID 15% NO.2,15 %,00409712207
"ESTROGENS,CONJUGATED",0.3 MG,00046086881
,,58160082643
DM/PHENYLEPH/CHLORPHENIRAMINE,15-12.5-4,60258041516
ACYCLOVIR,200 MG,60429071105
BIOTIN,5 MG,30768013430
HYDROCODONE BIT/HOMATROPINE,5-1.5MG,61570008101
NARATRIPTAN HCL,1 MG,23155005419
CYANOCOBALAMIN (VITAMIN B-12),1000 MCG,54629058605
"NEEDLES, INSULIN DISPOSABLE","31GX5/16""",08470113001
KETOTIFEN FUMARATE,0.025 %,00363061501
VIT E/LIDOCAIN/ALO VER/COLAGN,2 %,66977010005
ACYCLOVIR,400 MG,00093894319
"SYRINGE W-NDL, DISP., INSULIN",,36652040518
TETRAHYDROZOLINE HCL,0.05 %,37205013905
PSEUDOEPHEDRINE HCL,30 MG,00363011222
SERTRALINE HCL,25 MG,60505018008
DIPHENHYDRAMINE HCL,12.5MG/5ML,00904517416
PROMETHAZINE HCL,25 MG,51079089501
ACETAMINOPHEN,325 MG,00713016450
RISPERIDONE,4 MG,13668004064
ESCITALOPRAM OXALATE,20 MG,00378385777
CLOPIDOGREL BISULFATE,75 MG,47335089413
DRONEDARONE HCL,400 MG,00024414260
LEVETIRACETAM,500 MG,31722053712
LIDOCAINE,5 %,00168020437
OLANZAPINE,10 MG,55111016605
OLANZAPINE,5 MG,60505311103
VALSARTAN/HYDROCHLOROTHIAZIDE,80-12.5MG,00378632177
DARIFENACIN HYDROBROMIDE,15 MG,00430017123
ESCITALOPRAM OXALATE,10 MG,31722025090
DEXTROAMPHETAMINE SULFATE,15 MG,00406896201
NIFEDIPINE,30 MG,00093205755
METFORMIN HCL,1000 MG,68012000316
QUETIAPINE FUMARATE,100 MG,00093816201
DONEPEZIL HCL,5 MG,59746032990
ATORVASTATIN CALCIUM,10 MG,60505257808
CARISOPRODOL,350 MG,65862015805
CICLOPIROX OLAMINE,0.77 %,00168031330
ZIPRASIDONE HCL,80 MG,59762200402
TERCONAZOLE,0.8 %,00591319752
METRONIDAZOLE,0.75 %,43538018245
DEXTROSE 5 % IN WATER,5 %,00338001702
RISPERIDONE,0.5 MG,52343000405
MODAFINIL,200 MG,00378557501
INGENOL MEBUTATE,0.015 %,50222050247
OXICONAZOLE NITRATE,1 %,10337035830
CALCIUM CARBONATE/VITAMIN D3,600 MG-400,46122007887
MULTIVITS W-MIN/FERROUS GLUC,9 MG/15 ML,00904502309
MEDROXYPROGESTERONE ACETATE,10 MG,00555077904
ZIPRASIDONE HCL,40 MG,00904627008
QUETIAPINE FUMARATE,300 MG,16729014912
OLANZAPINE,20 MG,62756075764
IRBESARTAN/HYDROCHLOROTHIAZIDE,150-12.5MG,00955104590
OLANZAPINE,5 MG,66993046130
LIDOCAINE,5 %,50383093355
SOMATROPIN,5 MG/1.5ML,00781300107
0.9 % SODIUM CHLORIDE,0.9 %,00409107820
ISOSORBIDE DINITRATE,40 MG,52244092010
ALMOTRIPTAN MALATE,12.5 MG,50458021001
NAPROXEN SODIUM,220 MG,00113036878
ESCITALOPRAM OXALATE,5 MG,13668013505
TIZANIDINE HCL,2 MG,60505264807
BUTALBIT/ACETAMIN/CAFF/CODEINE,50-325-30,52544095801
IRBESARTAN/HYDROCHLOROTHIAZIDE,300-12.5MG,00378303493
RISPERIDONE,0.25 MG,52343000360
INDACATEROL MALEATE,75 MCG,00078061915
RISPERIDONE,1 MG,51991031806
RISPERIDONE,3 MG,52343000705
SIMVASTATIN,20 MG,50742013810
OLANZAPINE,7.5 MG,65862056399
ANASTROZOLE,1 MG,62756025013
PRAMIPEXOLE DI-HCL,3.75 MG,00597028730
MONTELUKAST SODIUM,4 MG,55111076303
"HEPARIN SODIUM,PORCINE",1000/ML,00409272003
"NEEDLES, INSULIN DISPOSABLE","31GX3/16""",98302000199
,,00045059114
ROPINIROLE HCL,2 MG,55111065990
CLONAZEPAM,0.5 MG,00093083293
LEVOFLOXACIN,500 MG,51079003501
TINIDAZOLE,250 MG,43386055004
LORATADINE/PSEUDOEPHEDRINE,10MG-240MG,11523716102
ALFUZOSIN HCL,10 MG,64679073802
SULFAMETHOXAZOLE/TRIMETHOPRIM,80-16MG/ML,00703951403
METOPROLOL SUCCINATE,50 MG,51079017020
HYDROCHLOROTHIAZIDE,50 MG,00172208900
DEXTROSE 5 %-0.2 % NACL,5 %-0.2 %,00409792409
TOBRAMYCIN,0.3 %,00065064305
NORTRIPTYLINE HCL,10 MG,68084003111
ROPINIROLE HCL,4 MG,00781578231
GUAIFENESIN/DEXTROMETHORPHAN,100-10MG/5,10939033233
BELIMUMAB,120 MG,49401010101
L-NORGEST-ETH ESTR/ETHIN ESTRA,150-30(84),00093313491
ESCITALOPRAM OXALATE,5 MG/5 ML,65862024824
LACTOBACILLUS ACIDOPHILUS,,00761051520
LIDOCAINE HCL,2 %,76329301105
BISMUTH SUBSALICYLATE,525MG/15ML,49348092337
PNV53/IRON FUM/FA/DOCUSATE/DHA,29-1.25-55,00245037430
PROBENECID,500 MG,00527136710
DOXYLAMINE SUCCINATE,25 MG,00113044173
ATORVASTATIN CALCIUM,10 MG,68084056411
BENZOYL PEROXIDE,5 %,24470090005
FUROSEMIDE,80 MG,51079052701
CEFAZOLIN SODIUM,10 G,60505609400
FENTANYL,400 MCG,20482000430
METHSCOPOLAMINE BROMIDE,2.5 MG,10337006101
FLUOXETINE HCL,40 MG,00093719819
AMPICILLIN SODIUM,500 MG,00069007128
DOXAZOSIN MESYLATE,8 MG,67253038311
LEVONORGESTREL-ETH ESTRADIOL,0.15-0.03,68180084313
CALCIUM CITRATE/VITAMIN D3,315 MG-250,52569013411
BISOPROLOL FUMARATE/HCTZ,5-6.25MG,00591084201
TETRAHYDRZ/DEXT 70/PEG 400/PVP,0.05-.1-1%,24385007705
LEVETIRACETAM,500 MG/5ML,66689002801
MORPHINE SULFATE,40 MG,46987032711
MONTELUKAST SODIUM,5 MG,62175020546
NAPROXEN SODIUM,220 MG,25866010505
IBUPROFEN,200 MG,15127031201
DIPHENHYDRAMINE HCL,12.5MG/5ML,00603082354
CETIRIZINE HCL,10 MG,16571040290
GUAIFENESIN/DEXTROMETHORPHAN,100-10MG/5,62011009201
HYDROCODONE/IBUPROFEN,2.5-200MG,53746011601
MYCOPHENOLATE MOFETIL,500 MG,67877022505
HEPATITIS B VIRUS VACCINE/PF,20 MCG/ML,58160082146
PEDI MVI NO.12/SODIUM FLUORIDE,0.5 MG,44946101305
MV COMB18/FEFM-FEPOL CB1/FA,106 MG-1MG,59088011266
"NEEDLES, INSULIN DISPOSABLE","32GX0.25""",28465004504
CETIRIZINE HCL,10 MG,00904585261
FENOFIBRATE,40 MG,52725049090
CALCIUM CARBONATE/VITAMIN D3,600 MG-200,11845012385
HYDROCODONE BIT/ACETAMINOPHEN,7.5-325MG,60429057305
BROMPHENIRAMIN/PE/DEXTROMETHOR,1-2.5-5/5,24385051926
NICOTINE,14MG/24HR,50428173013
EYELID CLEANSER COMBINATION #5,,15718010330
TROLAMINE SALICYLATE,10 %,41167005706
LAMOTRIGINE,100 MG,13668004730
"INCONTINENCE PAD,LINER,DISP",,36000033591
LEVOTHYROXINE SODIUM,25 MCG,54868338803
CALCIUM CARBONATE/VITAMIN D3,600 MG-400,41163045745
LORATADINE,10 MG,11917010305
DEXTROSE,4 G,87701040668
CETIRIZINE HCL,10 MG,50580072638
OLANZAPINE,7.5 MG,00378533591
BLOOD SUGAR DIAGNOSTIC,,98302000120
THIOTHIXENE,2 MG,51079058701
MIRTAZAPINE,15 MG,00093720619
MINOCYCLINE HCL,100 MG,68084028911
OMEPRAZOLE,40 MG,68084046611
AMPICILLIN SODIUM/SULBACTAM NA,15 G,25021014499
CAPSAICIN,0.075 %,60569044302
ONDANSETRON HCL/PF,4 MG/2 ML,00409475561
,,99207026024
DILTIAZEM HCL,420MG,00456261700
NITROGLYCERIN,0.4 MG,33358026825
MINERAL OIL/HYDROPHIL PETROLAT,,54162050002
LEVETIRACETAM,500 MG,51079012706
ACETAMINOPHEN,650 MG,51660033301
GELATIN CAPSULES (EMPTY),,62991402305
ELECT WTR/SOD CH/SOD HY/HYP AC,0.004 %,23710006508
INDOMETHACIN,50 MG,00093403093
IBUPROFEN,400 MG,52605012105
"FLUCONAZOLE IN NACL,ISO-OSM",100MG/50ML,55390019401
FERROUS SULFATE,325(65) MG,11845014971
ASA/SALICYLAM/ACETAMINOPH/CAFF,500-250 MG,15014016050
PACLITAXEL,6 MG/ML,63323076350
LOPERAMIDE HCL,1MG/7.5ML,00113064526
ATROPINE SULFATE,0.4 MG/ML,63323023401
ROPINIROLE HCL,12 MG,00781578831
PHENYLEPHRINE HCL,10 MG,68016023515
OXYCODONE HCL/ACETAMINOPHEN,7.5-300MG,24090068285
GLIPIZIDE,5 MG,60505014108
,,66336082360
TRAMADOL HCL,50 MG,55289071915
ACETAMINOPHEN WITH CODEINE,300MG-30MG,54569002402
DIBUCAINE,1 %,00168004631
BENZOCAINE,20 %,00283067902
HYDROCODONE BIT/ACETAMINOPHEN,7.5-300MG,59630091310
FOLIC ACID/MULTIVITS-MIN,0.4 MG,52569013426
ELTROMBOPAG OLAMINE,12.5 MG,00007464313
DIETHYLPROPION HCL,75 MG,00591078201
GUAIFENESIN/DEXTROMETHORPHAN,100-10MG/5,49348001739
TROLAMINE SALICYLATE,10 %,50428213140
GUAIFENESIN/DEXTROMETHORPHAN,400MG-20MG,87701040102
ALBUTEROL SULFATE,2 MG/5 ML,49999033816
HYDROCODONE/ACETAMINOPHEN,5 MG-500MG,00591034901
AMLODIPINE BESYLATE/BENAZEPRIL,5 MG-20 MG,00781227301
PHENOBARBITAL,32.4 MG,00603516602
"INTERFERON GAMMA-1B,RECOMB.",100MCG/0.5,64116001112
AMLODIPINE BESYLATE/BENAZEPRIL,5 MG-40 MG,49884095205
VERAPAMIL HCL,240 MG,60505274201
AMLODIPINE/ATORVASTATIN,10 MG-20MG,63304059130
FAMCICLOVIR,500 MG,33342002607
VERAPAMIL HCL,120 MG,60505274001
VANCOMYCIN HCL,750 MG,00409653101
OLMESARTAN/AMLODIPIN/HCTHIAZID,40-10-12.5,65597011790
BROMFENAC SODIUM,0.07 %,24208060201
IRBESARTAN/HYDROCHLOROTHIAZIDE,300-12.5MG,60505360403
HYDROCODONE/ACETAMINOPHEN,10MG-325MG,13107002105
GABAPENTIN,800 MG,68382020501
INTERFERON BETA-1A/ALBUMIN,44MCG/.5ML,44087334401
FELBAMATE,600 MG/5ML,65162068688
BISMUTH/METRONID/TETRACYCLINE,125-125 MG,58914060021
HYDROCODONE/ACETAMINOPHEN,7.5-325MG,13107002001
CLOBETASOL PROPIONATE/EMOLL,0.05 %,66993089349
EZETIMIBE/SIMVASTATIN,10 MG-10MG,66582031154
NAPROXEN,500 MG,00904629760
PIOGLITAZONE HCL/METFORMIN HCL,15MG-500MG,65862052518
AMLODIPINE/ATORVASTATIN,10 MG-20MG,00378616977
OXAZEPAM,15 MG,62584081301
AMLODIPINE/ATORVASTATIN,5 MG-20 MG,00378616593
TOBRAMYCIN,28 MG,00078063035
HYDROCODONE/ACETAMINOPHEN,7.5-500MG,00603388202
ENOXAPARIN SODIUM,40MG/0.4ML,00548563200
DIVALPROEX SODIUM,500 MG,55111053405
DIGOXIN,250 MCG,54569575801
METHOCARBAMOL,750 MG,43547022650
AMLODIPINE/ATORVASTATIN,10 MG-10MG,00069216030
WARFARIN SODIUM,2 MG,65162076210
DESONIDE,0.05 %,00472080415
HYDROCODONE/ACETAMINOPHEN,5MG-325MG,51079077721
ZOLMITRIPTAN,5 MG,00115069250
"SYRING W-NDL,DISP,INSUL,0.5ML","31GX5/16""",56151173201
AMITRIPTYLINE HCL,25 MG,00603221302
YELLOW FEVER VACCINE LIVE/PF,10E4.74,49281091501
FAMCICLOVIR,125 MG,33342002407
"FENOFIBRATE,MICRONIZED",200 MG,00115053302
NORETHINDRONE A-E ESTRADIOL,1MG-20MCG,00603760748
ABATACEPT,125 MG/ML,00003218811
NORETHINDRONE,0.35 MG,00378727253
BUPRENORPHINE HCL/NALOXONE HCL,5.7-1.4 MG,54123095730
METHOCARBAMOL,750 MG,43547022610
LORCASERIN HCL,10 MG,62856052960
OXYCODONE HCL,30 MG,68382079701
HYDROCODONE/ACETAMINOPHEN,10MG-325MG,43063033960
CALCIPOTRIENE,0.005 %,66993087861
IRON FUM&POLYSAC#1/FA/MV NO.18,106 MG-1MG,13925011890
METFORMIN HCL,1000 MG,42291060718
TIZANIDINE HCL,4 MG,68084064511
SIMVASTATIN,80 MG,42571008090
MESALAMINE W/CLEANSING WIPES,4 G/60 ML,45802092349
UREA,39 %,00259113980
VIT A/VIT C/VIT E/ZINC/COPPER,7160-113,00065804010
TRIMETHOBENZAMIDE HCL,300 MG,43386066003
AMOXICILLIN,775 MG,68453014203
WARFARIN SODIUM,6 MG,65162076710
LORAZEPAM,1 MG,64455006410
POTASSIUM CHLORIDE,20MEQ/15ML,16571030316
CHLOROQUINE PHOSPHATE,250 MG,64980017750
OXYCODONE HCL/ACETAMINOPHEN,5MG-325MG,00406051223
FELBAMATE,600 MG/5ML,00037044217
"DIAPER,BRIEF,ADULT, DISPOSABLE",,90891050001
ACYCLOVIR,200 MG,61442011105
OMEPRAZOLE,20 MG,68382041201
CALCIPOTRIENE,0.005 %,66993087878
VITAMIN E,400 UNIT,41163023117
DIGOXIN,125 MCG,24987024276
TENOFOVIR DISOPROXIL FUMARATE,150 MG,61958040401
BENZTROPINE MESYLATE,2 MG,64125013801
VALSARTAN/HYDROCHLOROTHIAZIDE,80-12.5MG,51079019203
VALACYCLOVIR HCL,1000 MG,51660090530
ALPRAZOLAM,0.5 MG,18860032201
SALSALATE,500 MG,42937070310
PACLITAXEL,6 MG/ML,00069007801
GUAIFENESIN/DEXTROMETHORPHAN,100-10MG/5,54838013940
LORATADINE,10 MG,37205074565
LIDOCAINE,5%(700MG),00591352511
"MV, MIN CMB#9/FA/SAW PALMET XT",1MG-320MG,50991023101
"DIAPER,BRIEF,ADULT, DISPOSABLE",,90891030030
CA CARBONATE/MAG OXIDE/CU/ZNOX,,48107001291
"MULTIVITS,TH W-FE,OTHER MIN",,62107004113
GLYCERIN,35 %,98669000201
PAMIDRONATE DISODIUM,90 MG/10ML,00069010901
"IMMUNE GLOB,GAM CAPRYLATE(IGG)",2.5G/25ML,76125090025
AMINOLEVULINIC ACID HCL,20 %,67308010101
ASPIRIN,325 MG,63739002301
FERROUS GLUCONATE,324(38)MG,00574050811
ESTROPIPATE,1.5 MG,00009377301
CLONAZEPAM,0.5 MG,63739026310
ROPINIROLE HCL,2 MG,00781578031
MAGNESIUM OXIDE,250 MG,11917013913
"SUB-Q INSULIN DEVICE, 40 UNIT",,08560940001
IBUPROFEN,200 MG,00904791551
CEFDINIR,300 MG,54868576700
SULFACETAMIDE SODIUM/SULFUR,10-5%(W/W),00178047045
MEGESTROL ACETATE,400MG/10ML,68094052861
BETAMETHASONE/PROPYLENE GLYC,0.05 %,45802037635
AMLODIPINE BESYLATE/BENAZEPRIL,10 MG-40MG,49884095301
OLANZAPINE,10 MG,66993046305
OLANZAPINE,20 MG,00378571393
BROMFENAC SODIUM,0.09%,24208009903
DESVENLAFAXINE,100 MG,63304019230
NATALIZUMAB,300MG/15ML,64406000801
DULOXETINE HCL,60 MG,13668011130
LAMOTRIGINE,25 MG,64679027101
0.9 % SODIUM CHLORIDE,0.9 %,00338630403
"DIAPER,BRIEF,ADULT, DISPOSABLE",,11917009443
"SOD CHLORIDE/LAN/MO/PET,WH",,54162081008
NORETHINDRONE A-E ESTRADIOL,1.5-0.03MG,00603760602
PROMETHAZINE HCL,50 MG/ML,39822550005
NIFEDIPINE,30 MG,50419070110
"DIAPER,BRIEF,ADULT, DISPOSABLE",,36000038529
DOXYCYCLINE HYCLATE,100 MG,24658031205
CALCIUM CARBONATE/VITAMIN D3,600 MG-800,74312004230
B COMPLEX WITH VITAMIN C,,79854020070
ACETAMINOPHEN,160 MG/5ML,00603084154
METOPROLOL SUCCINATE,100 MG,68001011903
CEFPODOXIME PROXETIL,100 MG/5ML,16714040302
MULTIVITS-MIN/FA/LYCOPENE/LUT,.4-300-250,52569013414
AMPICILLIN SODIUM,1 G,00781940485
ACETAMINOPHEN/DIPHENHYDRAMINE,500MG-25MG,62011002501
ALFUZOSIN HCL,10 MG,64679073803
SENNOSIDES/DOCUSATE SODIUM,8.6MG-50MG,50428707930
RAMIPRIL,10 MG,60505287800
ACETAMINOPHEN,80 MG,00904579146
LANCETS,30 GAUGE,08290325773
ASCORBIC ACID,500 MG,11917014675
PHENYLEPH/MINERAL OIL/PETROLAT,0.25 %-14%,00573287120
HYDROCODONE/ACETAMINOPHEN,10MG-325MG,51079077921
ASCORBATE CALCIUM/BIOFLAVONOID,500-200 MG,25077016970
OXYBUTYNIN CHLORIDE,5 MG,50268062715
CALCIUM CARBONATE/VITAMIN D3,250 MG-125,67544031965
"SYRING W-NDL,DISP,INSUL,0.3ML",29 GAUGE,08326290130
BETAMETHASONE/PROPYLENE GLYC,0.05 %,51672131703
SIMETHICONE,125 MG,63868085318
VALACYCLOVIR HCL,500 MG,68084063301
PHENOBARBITAL SODIUM,65 MG/ML,00641047621
MAGNESIUM CITRATE,,62011016601
,,49035011006
OLANZAPINE,20 MG,00093524819
MENTHOL/COLLOIDAL OATMEAL,0.1 %,72140063647
FENTANYL CITRATE,300 MCG,42747022332
FERROUS SULFATE,142(45)MG,52569013423
RANITIDINE HCL,15 MG/ML,68094020461
FENTANYL CITRATE/PF,50 MCG/ML,00409909461
"INCONTINENCE PAD,LINER,DISP",,36000019586
ZOLEDRONIC ACID/MANNITOL&WATER,5 MG/100ML,42023016301
UREA/EMOLLIENT COMBINATION #65,45 %,43538025120
MENTHOL,4 %,59316010220
FOSINOPRIL SODIUM,10 MG,76282020010
LEVONORGESTREL,1.5 MG,43386062030
CLINDAMYCIN PHOSPHATE,1 %,00145006150
ALPRAZOLAM,1 MG,55289092006
PSEUDOEPH/DM/GUAIFEN/ACETAMIN,60-20-500,50991051001
CEFPROZIL,250 MG/5ML,16714038702
NORETHINDRONE,0.35 MG,00378729253
CYANOCOBALAMIN/FA/PYRIDOXINE,2-2.5-25MG,42192034590
MELOXICAM,15 MG,55289037630
CLONAZEPAM,1 MG,16590005928
CITALOPRAM HYDROBROMIDE,10 MG,24658014030
ISOTRETINOIN,20 MG,55111013681
PSEUDOEPH/CHLOPHEDIANOL/GG,30-12.5MG,58809040701
DIAZEPAM,5 MG,16590007002
FINASTERIDE,1 MG,16729008910
HYDROCORTISONE,0.5 %,51672201001
SIMETHICONE,40MG/0.6ML,00363088210
DESMOPRESSIN (NONREFRIGERATED),10/SPRAY,54868560200
FUROSEMIDE,20 MG,54569057200
"NEEDLES, INSULIN DISPOSABLE","31GX1/4""",08214090748
SULFAMETHOXAZOLE/TRIMETHOPRIM,800-160 MG,55289024102
SALICYLIC ACID,40 %,80196030308
OXYCODONE HCL,20 MG/ML,00054052244
BISMUTH SUBSALICYLATE,262 MG,37205072065
TOLTERODINE TARTRATE,2 MG,59762080002
GABAPENTIN,300 MG,65162010250
DORZOLAMIDE HCL/TIMOLOL MALEAT,22.3-6.8/1,61314003002
VENLAFAXINE HCL,75 MG,68001016000
ACYCLOVIR,400 MG,31722077701
LORAZEPAM,2 MG,00603424832
TRIAMTERENE/HYDROCHLOROTHIAZID,37.5-25 MG,68001021600
MOXIFLOXACIN HCL,400 MG,55111011230
LORAZEPAM,1 MG,00781537701
OXYCODONE HCL/ACETAMINOPHEN,5 MG-325MG,00406051201
METOPROLOL SUCCINATE,25 MG,68645047754
AMLODIPINE BESYLATE,10 MG,29300024310
GLIMEPIRIDE,4 MG,68001017900
HYDROXYZINE PAMOATE,25 MG,00185067401
METOPROLOL TARTRATE,50 MG,00904634180
ESZOPICLONE,3 MG,00054029225
CELECOXIB,100 MG,00093716501
DEXTROAMPHETAMINE/AMPHETAMINE,30 MG,00406889401
QUETIAPINE FUMARATE,25 MG,00093206310
METRONIDAZOLE,500 MG,68001023003
OXYCODONE HCL,10 MG,65162004810
RISPERIDONE,4 MG,00904636261
ALCOHOL ANTISEPTIC PADS,,68113011401
OLMESARTAN MEDOXOMIL,20 MG,65597010303
AZELASTINE HCL,205.5MCG,45802002683
"SYRING W-NDL,DISP,INSUL,0.5 ML","31GX5/16""",11917004814
VALSARTAN/HYDROCHLOROTHIAZIDE,160-25MG,60505380809
"PNV WITH CA,NO.72/IRON/FA",27 MG-1 MG,76439025850
FLUCONAZOLE,100 MG,16571021130
NORETHINDRONE AC-ETH ESTRADIOL,0.5MG-2.5,00430014514
SUCROFERRIC OXYHYDROXIDE,500MG IRON,49230064551
CYCLOBENZAPRINE HCL,5 MG,68645044990
LOSARTAN POTASSIUM,100 MG,59746033530
CEFADROXIL,500 MG,00781293850
"SYRING W-NDL,DISP,INSUL,0.3 ML","29GX1/2""",08881511144
"SYRING W-NDL,DISP,INSUL,0.5 ML","31GX5/16""",56151173201
"SYRING W-NDL,DISP,INSUL,0.3 ML","31GX5/16""",08290329418
CLOZAPINE,50 MG/ML,18860012101
VERAPAMIL HCL,180 MG,00093304405
OCTREOTIDE ACETATE,100 MCG/ML,25021045201
TRETINOIN,0.05 %,66530025420
DEXTROAMPHETAMINE SULFATE,5 MG,54505032709
DILTIAZEM HCL,240 MG,68682070690
ATENOLOL,50 MG,00781522501
CIPROFLOXACIN HCL,500 MG,61442022305
TELMISARTAN/AMLODIPINE,80 MG-10MG,00378107893
"GLUCAGON,HUMAN RECOMBINANT",1 MG/ML,55390000410
DIGOXIN,62.5 MCG,24987024055
"NUT.TX.GLUC.INTOLER,LAC-FR,SOY",,70074057802
BUPRENORPHINE HCL,0.3 MG/ML,00409201232
CALCIPOTRIENE/BETAMETHASONE,0.005-.064,00781716595
ACETAMINOPHEN WITH CODEINE,300MG-60MG,13107006001
QUETIAPINE FUMARATE,400 MG,68001018103
ESZOPICLONE,1 MG,68180032201
NALOXONE HCL,0.4 MG/0.4,60842003001
SALSALATE,500 MG,42192036510
DILTIAZEM HCL,420MG,68682070990
MULTIVIT-MIN/FA/LYCOPENE/LUT,.4-300-250,46122008787
RISPERIDONE,1 MG,27241000106
DICLOFENAC SODIUM/MISOPROSTOL,50 MG-200,68001023106
POTASSIUM CHLORIDE,8 MEQ,66758011051
BUDESONIDE,32MCG,49884015752
LEUPROLIDE/NORETHINDRONE ACET,11.25-5 MG,00074105305
TELAPREVIR,375 MG,51167010003
NORETHINDRONE-E.ESTRADIOL-IRON,5-7-9-7,52544014331
ETODOLAC,400 MG,68382027114
,,37012049930
"DIPH,PERTUSS(ACELL),TET VAC/PF",2-2.5-5/.5,49281040088
AZITHROMYCIN,250 MG,68084065611
"DIAPER,BRIEF,ADULT, DISPOSABLE",,11917015526
AMLODIPINE/VALSARTAN/HCTHIAZID,5-160-25MG,00093703798
BUSPIRONE HCL,30 MG,68382018305
"SYRING W-NDL,DISP,INSUL,0.5 ML","29GX1/2""",15127040105
ATENOLOL,100 MG,00781522910
ASPIRIN,81 MG,40986001878
VALACYCLOVIR HCL,1000 MG,68084030921
VENLAFAXINE HCL,75 MG,60429012290
PIPERACILLIN SODIUM/TAZOBACTAM,4.5 G,44567080310
"SYRING W-NDL,DISP,INSUL,0.5 ML","29GX1/2""",56151171201
LISINOPRIL,10 MG,68084019711
HYDROXYUREA,500 MG,60429026501
"MV,CA,MIN/IRON FUM/FA/VIT K",9-200-40,43900037481
QUETIAPINE FUMARATE,100 MG,42291069790
CALCIUM CARBONATE,168(420)MG,47682010133
NIFEDIPINE,10 MG,68084002201
PHENAZOPYRIDINE HCL,200 MG,42937070216
LEVETIRACETAM,500 MG/5ML,25021078005
DEXMETHYLPHENIDATE HCL,30 MG,00781268701
DESIPRAMINE HCL,100 MG,00955103410
RIMABOTULINUMTOXINB,5000/ML,10454071110
LACTOSE-REDUCED FOOD,0.05 G-1.5,70074040702
"INCONTINENCE PAD,LINER,DISP",,36000012857
"SYRING W-NDL,DISP,INSUL,0.3 ML","31GX5/16""",57515007439
DIMETHICONE,1 %,80196075370
SIROLIMUS,2 MG,59762100301
MIRTAZAPINE,7.5 MG,57237000730
CEFDINIR,125 MG/5ML,67253001242
AMOXICILLIN,200 MG/5ML,43598022352
FLUOCINONIDE,0.1 %,51672135304
VALSARTAN,160 MG,68084082201
LOSARTAN POTASSIUM,25 MG,00904639161
TACROLIMUS,0.03 %,00168041760
PNV53/IRON FUM/FA/DOCUSATE/DHA,29-1.25-55,68025006430
THYMOL,,51552017304
"SYRING W-NDL,DISP,INSUL,0.5 ML","29GX1/2""",57599854901
DICLOFENAC SODIUM,1.5 %,00574016215
GALANTAMINE HBR,4 MG,51079085201
PRAVASTATIN SODIUM,80 MG,42291066910
PEGINTERFERON ALFA-2B,200 MCG,00085138801
CARVEDILOL,3.125 MG,35356051330
"SYRING W-NDL,DISP,INSUL,0.3 ML","31GX15/64""",08290490901
IBUPROFEN,800 MG,35356069840
BISMUTH SUBSALICYLATE,262 MG,00363031901
ACYCLOVIR,400 MG,68084010801
IBUPROFEN,600 MG,67877029550
DULOXETINE HCL,20 MG,13811066260
METOPROLOL SUCCINATE,200 MG,60429014210
OXYCODONE HCL/ACETAMINOPHEN,7.5-325MG,68084069901
L. ACIDOPHILUS/LACTOBAC SALIV,175 MG,40985022928
BISACODYL,5 MG,57896044101
OMEPRAZOLE,10 MG,68084055521
NEOMY SULF/BACITRAC ZN/POLY,3.5-400-5K,11917009752
PERINDOPRIL ERBUMINE,8 MG,00527192001
TERBUTALINE SULFATE,5 MG,00527131110
ASCORBIC ACID,500 MG,40986001775
ASPIRIN,325 MG,37864000017
"SYRING W-NDL,DISP,INSUL,0.5 ML",28 GAUGE,08080852801
SALIVA SUBSTITUTION COMBO NO.9,,48582080220
BUTENAFINE HCL,1 %,11017023523
SULFACETAMIDE SODIUM/SULFUR,10 %-2 %,00178047508
RISPERIDONE,2 MG,51079046301
DECITABINE,50 MG,55111055610
